epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,550.433,0.76361,3.80216,1.07525,0.04684,0.62409,0.16929,0.14942,0.60451,3.70351,0.92019,0.000181472,0.000181472,0.000181472
2,1396.32,0.62439,3.11425,0.96872,0.79549,0.15078,0.32368,0.2871,0.63678,3.13326,0.99052,0.000363174,0.000363174,0.000363174
